País de residencia;Tipo de dato;Periodo;Total
Estados Unidos de América;Dato base;2020M04;0
Estados Unidos de América;Dato base;2020M03;78.643
Estados Unidos de América;Dato base;2020M02;124.813
Estados Unidos de América;Dato base;2020M01;142.008
Estados Unidos de América;Dato base;2019M12;174.682
Estados Unidos de América;Dato base;2019M11;217.435
Estados Unidos de América;Dato base;2019M10;304.838
Estados Unidos de América;Dato base;2019M09;363.472
Estados Unidos de América;Dato base;2019M08;274.194
Estados Unidos de América;Dato base;2019M07;424.512
Estados Unidos de América;Dato base;2019M06;434.190
Estados Unidos de América;Dato base;2019M05;344.081
Estados Unidos de América;Dato base;2019M04;258.668
Estados Unidos de América;Dato base;2019M03;245.642
Estados Unidos de América;Dato base;2019M02;134.549
Estados Unidos de América;Dato base;2019M01;148.607
Estados Unidos de América;Dato base;2018M12;165.259
Estados Unidos de América;Dato base;2018M11;186.385
Estados Unidos de América;Dato base;2018M10;303.563
Estados Unidos de América;Dato base;2018M09;309.146
Estados Unidos de América;Dato base;2018M08;252.804
Estados Unidos de América;Dato base;2018M07;358.464
Estados Unidos de América;Dato base;2018M06;397.104
Estados Unidos de América;Dato base;2018M05;318.279
Estados Unidos de América;Dato base;2018M04;231.626
Estados Unidos de América;Dato base;2018M03;206.825
Estados Unidos de América;Dato base;2018M02;111.260
Estados Unidos de América;Dato base;2018M01;118.772
