Concepto turístico;Tipo de dato;Destino;Periodo;Total
Viajes;Valor absoluto;Total;2022;171.388.138
Viajes;Valor absoluto;Total;2021;142.893.461
Viajes;Valor absoluto;Total;2020;101.523.862
Viajes;Valor absoluto;Total;2019;193.874.716
Viajes;Valor absoluto;Total;2018;196.079.470
